"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"pretoria campus","it","i am a developer by profession","engineering manager","professional degree (jd, md, ph.d, ed.d, etc.)","c++","","","","legal services","","adrenaline;github copilot;mintlify;replit ghostwriter;synk code","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","associate degree (a.a., a.s., etc.)","bash/shell (all shells);html/css;java;javascript;sql;typescript","cloud firestore;mongodb;mysql;postgresql","amazon web services (aws);firebase;google cloud;heroku;netlify;vercel","angular;express;node.js;react;spring boot","retail and consumer services","chatgpt","adrenaline;aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;python","microsoft sql server;mongodb;postgresql","amazon web services (aws);microsoft azure","react","insurance","chatgpt","codeium","employed, full-time;independent contractor, freelancer, or self-employed"
"tyger valley campus","computer science","none of these","","","","","","","insurance","","adrenaline;aws codewhisperer",""
"tyger valley campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","data or business analyst","some college/university study without earning a degree","c#;f#;powershell;python;ruby;sql;vba","microsoft sql server;oracle;postgresql","microsoft azure","","oil & gas","","aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;tabnine;whispr ai","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, mobile","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;powershell;typescript","cloud firestore;firebase realtime database;mongodb","firebase;google cloud;netlify;vercel","express;nestjs;next.js;node.js;react","advertising services","chatgpt","aws codewhisperer;codeium;github copilot;mintlify;tabnine;whispr ai","employed, full-time"
"pretoria campus","computer science","i am learning to code","","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c#;java;julia;lua;ocaml;python;rust;vba","","","","legal services","wolframalpha","adrenaline;mintlify","student, full-time"
"pretoria campus","it","i am a developer by profession","developer, desktop or enterprise applications","some college/university study without earning a degree","c#;c++;powershell;rust;sql","microsoft sql server;postgresql","microsoft azure","asp.net;asp.net core","legal services","","favorable","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, full-stack","something else","c#;c++;html/css;java;javascript;powershell;python;sql;typescript","microsoft access;mongodb;mysql;postgresql;sqlite","firebase;heroku","fastapi;flask;jquery;node.js","healthcare","chatgpt","tabnine","student, full-time;employed, part-time"
"umhlanga campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#","microsoft sql server;mysql;sqlite","amazon web services (aws)","asp.net core","other","","github copilot;replit ghostwriter;rubber duck.ai;tabnine","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, desktop or enterprise applications","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c++;perl;python","","","","advertising services","","github copilot;mintlify","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","other (please specify):","some college/university study without earning a degree","html/css;javascript","","amazon web services (aws);firebase;microsoft azure;netlify","node.js;react","legal services","chatgpt","adrenaline;aws codewhisperer;github copilot","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;typescript","","microsoft azure","node.js;react","advertising services","bing ai;chatgpt","adrenaline;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"tyger valley campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","developer, full-stack","some college/university study without earning a degree","html/css;javascript","cloud firestore;firebase realtime database;mariadb;mongodb;mysql","amazon web services (aws);firebase;heroku","express;next.js;node.js;react","wholesale","chatgpt","tabnine","not employed, but looking for work"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;php;python;typescript","cassandra;elasticsearch;mongodb;mysql;postgresql","cloudflare;firebase;google cloud","express;node.js;react","legal services","chatgpt","aws codewhisperer","employed, full-time"
"pretoria campus","data science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","bash/shell (all shells);c#;go;html/css;javascript;powershell;python;ruby;sql;typescript;vba","elasticsearch;microsoft access;microsoft sql server;mongodb;postgresql;redis","amazon web services (aws);netlify;vmware","asp.net core;express;next.js;node.js;react","higher education","chatgpt","adrenaline;github copilot;tabnine","independent contractor, freelancer, or self-employed"
"midrand campus","data science","i am a developer by profession","developer, desktop or enterprise applications","bachelor’s degree (b.a., b.s., b.eng., etc.)","c++;python","sqlite","","flask","manufacturing, transportation, or supply chain","bing ai;chatgpt","aws codewhisperer;github copilot","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, front-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c#;dart;html/css;javascript;python;sql;typescript","firebird;microsoft sql server;mongodb;sqlite","amazon web services (aws);firebase;google cloud;heroku;microsoft azure;vercel","angular;asp.net;asp.net core;deno;express;node.js;react","healthcare","","codeium;github copilot","employed, full-time;student, part-time"
"midrand campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;typescript","cloud firestore;postgresql;supabase","amazon web services (aws);cloudflare;vercel","next.js;node.js;react","higher education","chatgpt","aws codewhisperer;github copilot;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","data or business analyst","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c#;c++;dart;go;html/css;java;javascript;objective-c;perl;php;powershell;python;ruby;rust;sql;swift;typescript;visual basic (.net)","couchbase;ibm db2;mariadb;microsoft access;microsoft sql server;mongodb;mysql;oracle;postgresql;sqlite","microsoft azure;netlify","asp.net;express;gatsby;jquery;react;ruby on rails;vue.js;wordpress","oil & gas","chatgpt","aws codewhisperer;codeium;github copilot;tabnine","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);dart;html/css;java;javascript;kotlin;objective-c;perl;php;sql;swift;typescript;vba;visual basic (.net)","elasticsearch;mariadb;microsoft access;microsoft sql server;mongodb;mysql;oracle;postgresql;redis;sqlite","amazon web services (aws);digital ocean;firebase","jquery;node.js;react;spring boot","retail and consumer services","","github copilot;mintlify","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c;c++;fortran;go;java;javascript;kotlin;lua;matlab;objective-c;perl;php;powershell;python;sql;typescript;vba;visual basic (.net)","dynamodb;elasticsearch;mariadb;mongodb;mysql;postgresql;redis;sqlite","amazon web services (aws);cloudflare;vmware","express;jquery;nestjs;next.js;node.js;react","legal services","chatgpt","codeium;github copilot;synk code","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;javascript;lua;sql;typescript","elasticsearch;microsoft sql server;oracle;postgresql;redis","hetzner;openshift","angular;asp.net core;node.js;vue.js","financial services","bing ai;chatgpt","rubber duck.ai;synk code","employed, full-time;independent contractor, freelancer, or self-employed"
"pretoria campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c#;c++;go;html/css;javascript;typescript","microsoft sql server;mongodb;mysql;postgresql;redis","amazon web services (aws)","angular;asp.net;asp.net core;blazor;nestjs","insurance","andi","adrenaline;mintlify;rubber duck.ai","employed, part-time;student, part-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);html/css;javascript;perl;php;powershell;sql;vba;visual basic (.net)","mariadb;mysql;oracle","amazon web services (aws);google cloud;microsoft azure","django;jquery;laravel;node.js;symfony;vue.js;wordpress","other","","aws codewhisperer;github copilot;replit ghostwriter;tabnine","employed, full-time"
"nelson mandela bay campus","data science","i am learning to code","project manager","master’s degree (m.a., m.s., m.eng., mba, etc.)","zig","elasticsearch;mysql","microsoft azure","","advertising services","chatgpt","github copilot;whispr ai","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;javascript;python;sql;typescript","microsoft sql server;mongodb;mysql","amazon web services (aws);hetzner;microsoft azure","asp.net;asp.net core;fastapi;nestjs;react","insurance","","codeium","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;javascript;sql;typescript;visual basic (.net)","microsoft sql server","","asp.net;asp.net core;jquery","financial services","","aws codewhisperer;replit ghostwriter","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;powershell;rust;sql;typescript","postgresql","amazon web services (aws);cloudflare;hetzner;microsoft azure","express;next.js;node.js","retail and consumer services","","adrenaline;mintlify;rubber duck.ai","employed, full-time"
"tyger valley campus","it","i used to be a developer by profession, but no longer am","","some college/university study without earning a degree","python","","","django;fastapi","higher education","","aws codewhisperer;rubber duck.ai","not employed, and not looking for work"
"pretoria campus","data science","i am a developer by profession","developer, back-end","some college/university study without earning a degree","c#;html/css;javascript;sql;typescript","firebase realtime database;microsoft sql server;mongodb;mysql;oracle;redis","google cloud;microsoft azure","angular;asp.net;asp.net core;jquery","retail and consumer services","","replit ghostwriter;tabnine","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;javascript;sql","microsoft sql server","microsoft azure","asp.net core;jquery","oil & gas","","aws codewhisperer;github copilot;replit ghostwriter;tabnine","employed, full-time"
"umhlanga campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","","bachelor’s degree (b.a., b.s., b.eng., etc.)","c++;python;rust","","amazon web services (aws)","","legal services","chatgpt","adrenaline;aws codewhisperer;github copilot;replit ghostwriter;whispr ai","student, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, desktop or enterprise applications","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;c#;c++;python;rust","microsoft sql server;sqlite","","","insurance","","adrenaline;github copilot;tabnine","employed, full-time"
"pretoria campus","data science","i am a developer by profession","developer, qa or test","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;java;javascript;kotlin;sql;typescript","mariadb;mysql;oracle;postgresql;supabase","google cloud;vercel","express;next.js;node.js;react;spring boot;wordpress","financial services","chatgpt","aws codewhisperer;rubber duck.ai","independent contractor, freelancer, or self-employed"
"midrand campus","data science","i am a developer by profession","developer, embedded applications or devices","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;groovy;java;javascript;kotlin;matlab;python;rust;solidity;typescript","","amazon web services (aws);cloudflare;heroku","","wholesale","","adrenaline;mintlify","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, embedded applications or devices","bachelor’s degree (b.a., b.s., b.eng., etc.)","assembly;bash/shell (all shells);c;c++;python;rust","sqlite","","","advertising services","","favorable","employed, full-time"
"midrand campus","computer science","i am a developer by profession","","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;java;javascript;typescript","mongodb;mysql;postgresql","amazon web services (aws);digital ocean;netlify;vercel","angular;express;nestjs;next.js;node.js;react","financial services","chatgpt","aws codewhisperer;codeium;github copilot;synk code;tabnine","student, full-time"
"tyger valley campus","data science","i code primarily as a hobby","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","python;sql","microsoft access;mysql;sqlite","","django","financial services","","adrenaline;aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","student, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, mobile","some college/university study without earning a degree","html/css;java;javascript;kotlin;objective-c;php;sql;swift;typescript","elasticsearch;mariadb;mongodb;mysql;postgresql;redis;sqlite","amazon web services (aws);cloudflare;digital ocean;firebase;google cloud;managed hosting;openshift;vmware","angular;angularjs;codeigniter;express;jquery;laravel;node.js;svelte;symfony;vue.js;wordpress","wholesale","","aws codewhisperer;mintlify","employed, full-time;independent contractor, freelancer, or self-employed"
"umhlanga campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","system administrator","some college/university study without earning a degree","bash/shell (all shells);c#;html/css;javascript;powershell;python;sql;typescript","microsoft sql server;sqlite","microsoft azure","fastapi;flask;node.js;react","wholesale","bing ai;chatgpt","adrenaline;aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine;whispr ai","employed, full-time;student, part-time"
"midrand campus","data science","i am a developer by profession","","some college/university study without earning a degree","java;rust","postgresql;redis","hetzner","","healthcare","","aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;tabnine;whispr ai","student, full-time"
"pretoria campus","it","i am a developer by profession","senior executive (c-suite, vp, etc.)","bachelor’s degree (b.a., b.s., b.eng., etc.)","python;sql","neo4j;postgresql","amazon web services (aws)","django;fastapi","wholesale","chatgpt","rubber duck.ai","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","professional degree (jd, md, ph.d, ed.d, etc.)","c;c++;java;javascript;kotlin;python;sql","mongodb;mysql;oracle;postgresql;sqlite","amazon web services (aws);oracle cloud infrastructure (oci)","flask;node.js;react;spring boot","information services, it, software development, or other technology","chatgpt","adrenaline;synk code;whispr ai","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, game or graphics","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c++;go;python","","amazon web services (aws)","","higher education","","tabnine","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#","","","","wholesale","","adrenaline;aws codewhisperer;github copilot;replit ghostwriter;whispr ai","not employed, but looking for work"
"pretoria campus","data science","i am learning to code","","some college/university study without earning a degree","c;html/css;javascript;perl;python;typescript","sqlite","amazon web services (aws);google cloud","fastapi;react;vue.js","legal services","chatgpt;wolframalpha","aws codewhisperer;replit ghostwriter;rubber duck.ai;tabnine","student, full-time"
"midrand campus","computer science","i am a developer by profession","student","bachelor’s degree (b.a., b.s., b.eng., etc.)","c++;nim","","","","higher education","chatgpt","aws codewhisperer","employed, part-time;student, part-time"
"tyger valley campus","it","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","java;javascript;python","mongodb;mysql;postgresql","","react","information services, it, software development, or other technology","","aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;kotlin;python;typescript","dynamodb;elasticsearch","amazon web services (aws)","node.js;react","information services, it, software development, or other technology","","aws codewhisperer;replit ghostwriter;rubber duck.ai;tabnine","employed, full-time"
"tyger valley campus","it","i code primarily as a hobby","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c#;c++;html/css;javascript;python;sql","","","django;express;flask;node.js","advertising services","chatgpt;wolframalpha","github copilot;synk code;tabnine","student, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);html/css;java;javascript;typescript","elasticsearch;mongodb","amazon web services (aws)","angular;express;node.js","retail and consumer services","","adrenaline;github copilot;mintlify;replit ghostwriter;synk code","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c#;c++;html/css;javascript;python;typescript","dynamodb;mariadb;mongodb","amazon web services (aws)","express;node.js;react;wordpress","information services, it, software development, or other technology","bing ai;chatgpt;google bard ai;phind","aws codewhisperer;synk code","employed, full-time"
"umhlanga campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","engineering manager","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;javascript;powershell;python;sql;typescript","cosmos db;microsoft sql server","microsoft azure","asp.net;asp.net core;django;react","retail and consumer services","chatgpt","adrenaline","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c++;go;html/css;rust;sql;typescript","mysql;postgresql","amazon web services (aws)","svelte","other","chatgpt","aws codewhisperer;codeium;github copilot;mintlify;tabnine;whispr ai","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, desktop or enterprise applications","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c++;python","","","","insurance","","mintlify;tabnine","employed, full-time"
"pretoria campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;dart;java;javascript;kotlin;python;rust;sql;typescript","bigquery;dynamodb;mysql","amazon web services (aws);google cloud;microsoft azure","","legal services","bing ai;chatgpt","rubber duck.ai;tabnine","employed, full-time;independent contractor, freelancer, or self-employed"
"tyger valley campus","data science","i am a developer by profession","engineer, data","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;python;rust;typescript","dynamodb;influxdb;sqlite","amazon web services (aws)","svelte","wholesale","chatgpt","aws codewhisperer;codeium;tabnine","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, desktop or enterprise applications","master’s degree (m.a., m.s., m.eng., mba, etc.)","go;html/css;javascript;rust;sql;typescript","dynamodb;postgresql;sqlite","amazon web services (aws);hetzner","lit;svelte","other","chatgpt","aws codewhisperer;codeium;github copilot;mintlify;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);java;javascript;python","postgresql;redis","amazon web services (aws)","spring boot","financial services","chatgpt;google bard ai","synk code","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, game or graphics","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;c++;rust","","","","wholesale","","github copilot;synk code;whispr ai","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;f#;javascript;powershell;sql;typescript","microsoft sql server;postgresql","amazon web services (aws)","asp.net;asp.net core;jquery;next.js;react","legal services","","github copilot;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","java;typescript","oracle","amazon web services (aws)","angular;react","higher education","bing ai;chatgpt","replit ghostwriter","employed, full-time"
"umhlanga campus","computer science","i code primarily as a hobby","engineer, data","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;python;sql","cosmos db;elasticsearch;firebase realtime database;microsoft sql server;mysql","firebase;microsoft azure","angular;asp.net core;flask","other","bing ai;chatgpt","aws codewhisperer;codeium;github copilot;mintlify;tabnine;whispr ai","employed, full-time;independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;java;javascript;powershell;python;sql;typescript","cosmos db;microsoft sql server;postgresql;snowflake","google cloud;microsoft azure","angular;asp.net core;express;react;wordpress","healthcare","bing ai;chatgpt","adrenaline;synk code;whispr ai","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, back-end","professional degree (jd, md, ph.d, ed.d, etc.)","c#;c++;html/css;javascript;powershell;sql","cosmos db;elasticsearch;microsoft sql server;mongodb;mysql;oracle;postgresql;ravendb;redis","microsoft azure","asp.net;asp.net core;jquery","insurance","bing ai;chatgpt","adrenaline;aws codewhisperer;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c++;elixir;erlang;java;php;ruby;rust","mongodb;mysql;postgresql","amazon web services (aws)","asp.net core;django;express;flask;laravel;next.js;node.js;ruby on rails;spring boot;svelte;symfony;wordpress","insurance","","whispr ai","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","java","elasticsearch;redis","amazon web services (aws)","","financial services","chatgpt;wolframalpha","codeium;github copilot;synk code","employed, full-time"
"pretoria campus","it","i am a developer by profession","academic researcher","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);powershell;python;r;sql","mysql;postgresql;sqlite","microsoft azure","","wholesale","chatgpt","github copilot;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","c#;html/css;java;javascript;kotlin;powershell;python;sql;typescript","cosmos db;dynamodb;elasticsearch;microsoft sql server;postgresql","amazon web services (aws);microsoft azure","angular;asp.net core;express;nestjs;next.js;node.js;react","wholesale","","adrenaline;aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","c;c#;html/css;javascript;kotlin;lua;python;rust;sql;typescript;visual basic (.net)","elasticsearch;influxdb;mariadb;microsoft access;microsoft sql server;mongodb;mysql;postgresql;redis;sqlite","amazon web services (aws);cloudflare;firebase;google cloud;hetzner;microsoft azure;vercel","angular;django;fastapi;svelte","other","","github copilot;rubber duck.ai;tabnine","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);powershell;python","oracle","","django;fastapi","manufacturing, transportation, or supply chain","","aws codewhisperer;github copilot;mintlify;tabnine","not employed, but looking for work"
"tyger valley campus","data science","i am a developer by profession","developer, desktop or enterprise applications","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c#;c++;delphi;java","microsoft sql server;mysql;postgresql","","","legal services","bing ai;chatgpt","github copilot;replit ghostwriter;rubber duck.ai;tabnine","independent contractor, freelancer, or self-employed"
"umhlanga campus","computer science","i am a developer by profession","cloud infrastructure engineer","some college/university study without earning a degree","bash/shell (all shells);groovy;javascript;typescript","cosmos db;postgresql;redis","google cloud;heroku;microsoft azure;openshift","express;node.js","manufacturing, transportation, or supply chain","","codeium;github copilot","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c;c++;go;haskell;html/css;java;javascript;kotlin;rust;sql;swift;typescript","cloud firestore;duckdb;postgresql","google cloud;netlify;render;vercel","next.js;node.js;react","information services, it, software development, or other technology","bing ai;chatgpt;google bard ai","github copilot;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c++;python","","amazon web services (aws)","","legal services","","aws codewhisperer;github copilot;tabnine","student, full-time"
"pretoria campus","it","i am a developer by profession","developer, front-end","associate degree (a.a., a.s., etc.)","html/css;java;javascript;matlab;python;typescript","firebase realtime database","firebase;google cloud","angular;angularjs;django;express","financial services","bing ai;chatgpt","synk code;tabnine;whispr ai","employed, full-time;student, part-time"
"umhlanga campus","data science","i am a developer by profession","developer, desktop or enterprise applications","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);c;go;html/css;javascript;rust;sql;typescript","redis;sqlite","cloudflare;google cloud;vultr","express;node.js;svelte","healthcare","chatgpt;wolframalpha","aws codewhisperer;github copilot;replit ghostwriter","employed, full-time;independent contractor, freelancer, or self-employed"
"tyger valley campus","data science","i code primarily as a hobby","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);c;c++;go;html/css;rust;typescript;zig","","","","retail and consumer services","","github copilot;synk code;tabnine","student, full-time"
"midrand campus","data science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c;go;rust;scala;sql","mongodb;neo4j;postgresql;redis","","django;play framework","advertising services","","aws codewhisperer;github copilot;mintlify;tabnine","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","go;html/css;javascript;lua;sql;typescript","postgresql","amazon web services (aws);cloudflare;google cloud","express;nestjs;next.js;node.js;react","manufacturing, transportation, or supply chain","chatgpt","adrenaline;tabnine","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","c#;html/css;javascript;powershell;sql;typescript","microsoft sql server;postgresql;redis;sqlite","amazon web services (aws);microsoft azure","angular;asp.net;asp.net core;react","manufacturing, transportation, or supply chain","","github copilot;mintlify;replit ghostwriter","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;powershell;sql","microsoft sql server;mongodb;redis","microsoft azure","asp.net;asp.net core","information services, it, software development, or other technology","chatgpt","aws codewhisperer;codeium;github copilot;mintlify;tabnine;whispr ai","employed, full-time"
"umhlanga campus","computer science","i used to be a developer by profession, but no longer am","security professional","master’s degree (m.a., m.s., m.eng., mba, etc.)","go;javascript;perl;typescript","sqlite","","","advertising services","","adrenaline;aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","data science","i used to be a developer by profession, but no longer am","other (please specify):","associate degree (a.a., a.s., etc.)","dart;groovy;javascript;powershell;python","cloud firestore;firebase realtime database","firebase;google cloud","","oil & gas","chatgpt","replit ghostwriter;tabnine","independent contractor, freelancer, or self-employed;retired"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, back-end","some college/university study without earning a degree","python;rust","elasticsearch;mongodb","","","retail and consumer services","bing ai;chatgpt","adrenaline;aws codewhisperer;github copilot","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;php;sql","mariadb;mysql","","laravel;react;vue.js;wordpress","information services, it, software development, or other technology","chatgpt","tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;sql;typescript","microsoft sql server","","angular;angularjs;asp.net;asp.net core;jquery","retail and consumer services","","aws codewhisperer;github copilot;synk code;tabnine;whispr ai","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","engineer, data","bachelor’s degree (b.a., b.s., b.eng., etc.)","python;ruby","postgresql;sqlite","google cloud;microsoft azure","fastapi;flask;node.js;ruby on rails","other","chatgpt","adrenaline;github copilot","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;java;javascript;php;python;sql;typescript","mysql","heroku","express;jquery;laravel;nestjs;node.js;react","advertising services","chatgpt","aws codewhisperer;github copilot;whispr ai","independent contractor, freelancer, or self-employed;not employed, but looking for work;student, part-time"
"umhlanga campus","computer science","i am learning to code","developer, qa or test","primary/elementary school","html/css;javascript;python;visual basic (.net)","microsoft sql server;mongodb","digital ocean;heroku","node.js","information services, it, software development, or other technology","chatgpt","codeium","independent contractor, freelancer, or self-employed;not employed, but looking for work;student, part-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;python","postgresql;sqlite","heroku","","advertising services","chatgpt","github copilot","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","java","mongodb;mysql","amazon web services (aws);google cloud","","insurance","bing ai;chatgpt","rubber duck.ai;synk code","employed, full-time"
